Filename,Category,Description
batch1-0371.jpg,Technology,"seller: client: lewis and sons hancock llc 256 cruz views suite 230 04712 andrew meadows east justin, wa 50904 north hannah, nv 36457 items no. description qty um net price net worth vat [%] gross worth ils computer 1,00 each 299,99 299,99 10% 329,99 summary vat [%] net worth vat gross worth 10% 299,99 30,00 329,99 total $ 299,99 $ 30,00 $ 329,99"
batch1-0372.jpg,Technology,"seller: hart-wright 425 brown shoal apt. 586 aguirrefort, ny 56575 items no. description qty ils xbox one x 1tb 4k black video 3,00 game console system - factory sealed brand new 2. super nintendo snes system 2,00 console sns-001 with 2 controllers cleaned and tested oo nintendo switch lite gray 2,00 console only - no accessories or charger [b5-3] 4. vtech game console bundle- 2,00 console, art studio, games, 2 controllers- tested! a microsoft xbox series x console 3,00 pre-order - confirmed summary vat [%] 10% total 08/24/2017 um eacl eac eac eac eac h client: foster-parks 7419 smith valley apt. 840 west sherri, mt 92201 net price net worth vat [%] 419,99 1 259,97 10% 149,99 299,98 10% 135,00 270,00 10% 219,99 439,98 10% 849,99 2 549,97 10% net worth vat 4 819,90 481,99 $4 819,90 $ 481,99 gross worth 1 385,97 329,98 297,00 483,98 2 804,97 gross worth 5 301,89 $ 5 301,89"
batch1-0373.jpg,Food & Dining,"seller: jones-silva 3689 melissa landing west bradleyside, wy 08475 items no. description qty ils 9.5 inch dinosaur bones wine 4,00 bottle holder summary vat [%] 10% total um each 07/08/2017 client: stafford and sons 0304 michael underpass apt. 436 walkerfurt, ms 89150 net price net worth vat [%] 24,00 96,00 10% net worth vat 96,00 9,60 $ 96,00 $ 9,60 gross worth 105,60 gross worth 105,60 $ 105,60"
batch1-0374.jpg,Food & Dining,"seller: kirby group 6624 warren loaf tammyton, sd 76568 items no. description ae new never used crofton chefs collection wine cooling stick in package summary total qty 2,00 vat [%] 10% 05/09/2017 client: martin-allison 61224 melody springs apt. 423 michaelside, ct 66290 um net price net worth vat [%] each 3,00 6,00 10% net worth vat 6,00 0,60 $ 6,00 $ 0,60 gross worth 6,60 gross worth 6,60 $ 6,60"
batch1-0375.jpg,Books & Media,"seller: moore, thomas and crosby 1983 kelly streets apt. 218 north andrew, ct 56538 items no. description qty ils gourmet s old vienna cookbook 2,00 a viennese memoir 2. introduction to thematic 5,00 cartography by titans of the rising sun - 1,00 yamato class battleships of world war ii book 4. rage by bob woodward - 2,00 donald trump new hardcover sept 2020 s: the epic of gilgamesh 4,00 6. hiroshige one hundred 3,00 famous views of edo by taschen new hardcover ee all american history vol 1 4,00 student reader summary vat [%] 10% total 07/14/2019 um eacn eacn eacn eacn eacn eacn eacn client: aguirre ltd 0395 yu stream port richard, ks 72808 net price 11,84 8,99 ss) 22,93 4,49 24,23 9,99 net worth 252,63 $ 252,63 net worth 23,68 44,95 7,53) 45,86 17,96 72,69 39,96 vat [%] 10% 10% 10% 10% 10% 10% 10% vat 25,26 $ 25,26 gross worth 26,05 49,45 8,28 50,45 19,76 79,96 43,96 gross worth 277,89 $ 277,89"
batch1-0376.jpg,Technology,"seller: ross group 9177 torres streets charleston, ri 34271 items no. description qty 1. sony playstation 1 ps1 console 1,00 model scph-7501 2. sony scph-30001r playstation 4,00 2 fat console system w/ network adapter a nintendo wii u 32gb black 5,00 console deluxe set with 21 games! summary vat [%] 10% total 08/30/2016 client: um each each each leblanc and sons 65388 stephen center apt. 014 hallport, ct 28544 net price net worth vat [%] gross worth 14,99 14,99 10% 16,49 79,99 319,96 10% 351,96 400,00 2 000,00 10% 2 200,00 net worth vat gross worth 2 334,95 233,50 2 568,45 $ 2 334,95 $ 233,50 $ 2 568,45"
batch1-0377.jpg,Clothing & Apparel,"seller: client: wilkins ltd ross inc 436 sharon flat 966 smith groves apt. 801 new carolynview, ar 65009 east susanfurt, id 84874 items no. description qty um net price net worth vat [%] gross worth ils sequence dress size small 5,00 each 35,00 175,00 10% 192,50 2. lilly pulitzer 8 sunkissed with 1,00 each 56,89 56,89 10% 62,58 glow janice shift dress 3. jams world hawaiian [j] dress 5,00 each 65,00 325,00 10% 357,50 rayon sz.l 4. forever 21 blue a-line dress 1,00 each 14,99 14,99 10% 16,49 size medium 5: lularoe nicole dress size 5,00 each 1,99 9,95 10% 10,94 medium 11 6. marc jacobs ivory cotton 3,00 each 15,99 47,97 10% 52,77 short sleeve beige silk overlay dress small summary vat [%] net worth vat gross worth 10% 629,80 62,98 692,78 total $ 629,80 $ 62,98 $ 692,78"
batch1-0378.jpg,Footwear & Athletic Wear,"seller: client: duran group 51149 jordan corners singhmouth, mo 14592 items no. description qty um 1. fabulous nike boy's kyrie 3 2,00 each white basketball shoes size 5.5y 859466-103 with box 2. oomphies boys ankle boots 5,00 each shoes gray green kids size 2 euc summary vat [%] 10% total mayer-bates 00878 everett centers suite 291 south jesusmouth, tx 79756 net price 29,99 11,99 net worth 119,93 $ 119,93 871 net worth vat [%] 59,98 59,95 vat 11,99 $ 11,99 10% 10% gross worth 65,98 65,95 gross worth 131,92 $ 131,92"
batch1-0379.jpg,Clothing & Apparel,"seller: howell, underwood and davis 28530 aaron rapid port michelleland, ar 51018 items no. description qty ils vintage gothic lolita dress 2,00 women loose puff sleeve pure color princess dresses 2. stellaluxe one shoulder lace 3,00 dress a s.l. fashions size 16 stretch 2,00 bodice dress 4. old navy womens sleeveless. 3,00 rayon dress hawaiian floral print size xs a athleta coral paisley print 2,00 stretch ruching wrap athletic dress size l summary vat [%] 10% total 12/12/2015 um eacn eacn eacn eacn eacn client: gardner llc 5115 meza mountain suite 952 lopezland, ma 27123 net price net worth vat [%] 2200 45,54 10% 25,00 75,00 10% 15,50 31,00 10% 12,00 36,00 10% 39,99 79,98 10% net worth vat 267,52 26,75 $ 267,52 $ 26,75 gross worth 50,09 82,50 34,10 39,60 87,98 gross worth 294,27 $ 294,27"
batch1-0380.jpg,Home Furnishings,"seller: client: montgomery llc campbell-flores 75081 david corners 34813 davis views lake kellyview, nh 03078 jasonhaven, mo 32671 items no. description qty um net price net worth vat [%] gross worth ils 15""x15"" white marble coffee 5,00 each 650,00 3 250,00 10% 3 575,00 top table filigree lapis inlay art christmas gift 2. 30""x30"" marble black top table 5,00 each 2 399,00 11 995,00 10% 13 194,50 semi precious bird art black friday gift décor 2 15""x15"" white marble chess 3,00 each 600,00 1 800,00 10% 1 980,00 top table carnelian inlay art black friday gift deco summary vat [%] net worth vat gross worth 10% 17 045,00 1 704,50 18 749,50 total $ 17 045,00 $1 704,50 $ 18 749,50"
